2022-08-13
	[시선] 쓰레기 처리의 외주화 | https://www.khan.co.kr/opinion/column/article/202208130300025

	[새로 나왔어요]돌봄이 돌보는 세계 外 | https://www.donga.com/news/article/all/20220812/114938949/1

	미 하원, 인플레 감축법 통과 | http://www.fnnews.com/news/202208130806078756

	비건, 어쩐지 어려웠다면…말복엔 ‘속세 맛’ 채식 어때요? [ESC] | http://www.hani.co.kr/arti/specialsection/esc_section/1054608.html

	김용범 전 기획재정부 차관 “복합위기 상황, 높은 파고 장기간 몰아칠 것” | https://www.khan.co.kr/economy/economy-general/article/202208130951001

	기후위기와 탐정들의 환상적인 콜라보, '온난한 날들'[지구용] | http://www.sedaily.com/NewsView/269S68RMP1

	물폭탄 뒤 소강, 지금 땅 밑은?...물 빠지며 '불안정', 또 오면 '와르르' | https://www.ytn.co.kr/_ln/0103_202208131335310477

2022-08-14
	[현장]“버려진 비닐로 카드지갑 만들고, ‘플로깅’하며 하나님 창조 세계 회복 꿈꿔요” | https://news.kmib.co.kr/article/view.asp?arcid=0017371000&code=61221111&cp=kd

	ESG 힘주는 LG, 그룹사 중 처음으로 ‘이것’ 발표한다 [비즈360] | http://biz.heraldcorp.com/view.php?ud=20220812000676

	대심도 터널이 대도시 구할까 | https://www.khan.co.kr/local/Seoul/article/202208142136035

	법인세 줄이는 한국 보란 듯…미국, 법인세 증세로 미래 투자 | https://www.khan.co.kr/economy/economy-general/article/202208142152015

2022-08-15
	[중앙시평] 기후위기는 실존적 위협인가 | https://www.joongang.co.kr/article/25094313

	22일은 ‘에너지의 날’… 시민단체, 공공·지역 기관 다채로운 에너지 절약 행사 | http://www.munhwa.com/news/view.html?no=2022081501039910043001

	[소년중앙] 말랑한 '물복' 아삭한 '딱복'…'6말 10초' 복숭아 철 100% 즐기기 | https://www.joongang.co.kr/article/25094342

	미국 인플레 방지법의 찐 수혜주 짚어드림 [코주부] | http://www.sedaily.com/NewsView/269T2SXEG8

	5년새 농작물재해보험 지급액 20배↑…“이상기후 탓…지급액 계속 늘 것” | http://www.hani.co.kr/arti/economy/marketing/1054747.html

	"거의 모든 기쁨에 들지 않은 작은 목소리 모아 詩로 썼죠" | https://www.hankyung.com/life/article/2022081535891

	'바이든, 보고 있나'···최태원·빌 게이츠, 소형원전 1조 투자 '선도' | http://news.moneytoday.co.kr/view/mtview.php?no=2022081513440892199&type=2
	SK, 미국 SMR기업 테라파워에 지분 투자····'넷제로' 실행 가속도 | https://www.ajunews.com/view/20220815160705754
	SK, '차세대 SMR 기업' 美 테라파워에 3000억 투자 | https://view.asiae.co.kr/article/2022081515113263720
	최태원-빌 게이츠 손 잡았다…'620조원' 차세대 원전 뭐길래 | https://www.joongang.co.kr/article/25094424
	SK그룹, 차세대 소형모듈원자로 사업에 뛰어들다 | https://news.kmib.co.kr/article/view.asp?arcid=0017374557&code=61141111&cp=kd
	최태원·빌게이츠 맞손…SK, ‘원전 기업’ 테라파워에 3천억 투자 | http://www.hani.co.kr/arti/economy/marketing/1054786.html

	‘출범 100일’ 윤석열 행정부의 정책은 왜 길을 잃었나? | http://www.hani.co.kr/arti/opinion/column/1054802.html

	해양쓰레기, 인류가 지구에 남기는 영원한 상처 | http://www.hani.co.kr/arti/opinion/because/1054813.html

	홍수 대책도 토건만이 답일까, 자연 기반 해법을 주목하자 | http://www.hani.co.kr/arti/opinion/because/1054815.html

	8월16일 알림 | http://www.hani.co.kr/arti/society/ngo/1054826.html

	[여적] 바닥 드러낸 라인강 | https://www.khan.co.kr/opinion/yeojeok/article/202208152030015

	그래미 5관왕 빌리 아일리시, 고척돔 꽉 채웠다 | https://news.kmib.co.kr/article/view.asp?arcid=0017374973&code=61171111&cp=kd

	[장은수의이책만은꼭] 기후변화 해결 없이 재난대책도 없다 | http://www.segye.com/content/html/2022/08/15/20220815512255.html

2022-08-16
	서울 온 빌 게이츠, 최태원과 차세대 소형 원전 손잡는다 | https://www.joongang.co.kr/article/25094489

