2022-08-09
	[속보] "서울 폭우로 1명 사망…가로수 정리중 감전 추정" |  | https://www.joongang.co.kr/article/25092910
	'역대급 물폭탄' 중부 강타…중대본, 2단계 철야 가동 | 사회>사회일반 | http://news.moneytoday.co.kr/view/mtview.php?no=2022080900054585118&type=2
	쓰러진 가로수 치우던 구청직원 사망…이재민도 속출 | 사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809500221.html
	폭우 속 가로수 치우던 구청 직원 사망… 감전 추정 | 사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809500641.html
	폭우로 인명·침수 피해...중대본, 대응 3단계로 격상 | 사회>사회일반 | https://www.ytn.co.kr/_ln/0103_202208090353508486
	“수도권 호우로 사망 7명·실종 6명”… 반지하 가족 참변 | 사회>사회일반 | https://news.kmib.co.kr/article/view.asp?arcid=0017355040&code=61121211&cp=kd
	서울·경기 7명 사망·6명 실종…이재민 163명 | 사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809503582.html
	중부 폭우로 수도권서 7명 사망·6명 실종…이재민 163명 | 사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809504296.html
	쓰러진 가로수 치우던 구청직원 사망…폭우로 인명피해 속출 [종합] | 사회>사회일반 | https://www.hankyung.com/life/article/2022080981957
	'80년만의 폭우' 서울이 멈췄다…지하철 운행 차질, 교통통제 잇달아 |  | https://view.asiae.co.kr/article/2022080908021596382
	'물폭탄급' 폭우에 중부 지방 피해 속출… 7명 사망·6명 실종 | 사회>사회일반 | http://www.sedaily.com/NewsView/269QC1IPXK
	[포토타임] 윤석열 대통령, 신림동 반지하 침수피해 현장 점검 | 사회>날씨 | https://www.joongang.co.kr/article/25093020
	침수로 갇혀 신고했지만…서울 반지하 일가족 3명 참변 | 사회>사회일반 | https://www.chosun.com/national/national_general/2022/08/09/RGLPSIO4TFAI3BVNRXYWYFFBFI/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
	[LIVE] 역대급 물폭탄에 곳곳 피해속출 | 사회>날씨 | https://www.joongang.co.kr/article/25093027
	426㎜… 하늘 뚫린 서울 ‘속수무책’ 당했다 |  | http://www.munhwa.com/news/view.html?no=2022080901030130129001
	반지하 가족 3명 포함 호우로 8명 사망·6명 실종 | 사회>사회일반 | https://news.kmib.co.kr/article/view.asp?arcid=0017356124&code=61121111&cp=kd
	80년만의 기록적 폭우에 수도권, 강원서 9명 숨지고 6명 실종 | 사회>사회일반 | https://www.joongang.co.kr/article/25093061
	400㎜ 폭우에 반지하 3가족 등 8명 숨지고 6명 실종… 이재민 391명 | 사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809511475.html
	[특보] 집중호우 8명 사망·6명 실종…주택·상가 741채 침수 |  | https://news.kbs.co.kr/news/view.do?ncd=5528668&amp;ref=DA
	수도권 폭우로 발달장애 가족 등 8명 사망·6명 실종(종합2보) | 사회>사회일반 | http://www.seoul.co.kr/news/newsView.php?id=20220809500087
	[특보] 집중호우 8명 사망·6명 실종…주택·상가 741채 침수 | 사회>사회일반 | https://news.kbs.co.kr/news/view.do?ncd=5528697&amp;ref=DA
	[특보] 집중호우 8명 사망·6명 실종…주택·상가 741채 침수 | 사회>사회일반 | https://news.kbs.co.kr/news/view.do?ncd=5528735&amp;ref=DA
	尹 대통령 ‘신림동 반지하 일가족 참변’ 현장 직접 찾아 | 정치>청와대 | https://www.donga.com/news/article/all/20220809/114881104/2
	폭우로 8명 사망·7명 실종…이재민 391명 발생 | 사회>사건_사고 | https://www.donga.com/news/article/all/20220809/114882273/2

	서울시 구청장들 폭우 피해 현장 가보니... | 지역>경남,지역>강원,지역>대전 | https://view.asiae.co.kr/article/2022080911581704776
	휴가중 복귀·‘비오는날 전’ 타령 뭇매…서울 구청장들 폭우 백태 | 지역>지역일반 | http://www.hani.co.kr/arti/area/capital/1054143.html

	민주 “사실상 대통령이 이재민 된 상황 어떻게 받아들이나, 무정부 상태나 다름없어” | 정치>청와대,정치>국회_정당 | http://www.segye.com/content/html/2022/08/09/20220809512522.html
	민주 “기록적 폭우에도 자택 지시” 대통령실 “尹 있는 곳이 상황실” | 정치>청와대,정치>행정_자치,정치>국회_정당 | https://www.chosun.com/politics/politics_general/2022/08/09/7ID4PKAECRA33CXPI2HC7XMA6I/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
	서초 자택서 폭우 챙긴 尹…野 "대통령이 이재민" 與 "정치공세" | 정치>청와대,정치>국회_정당,정치>선거 | https://www.joongang.co.kr/article/25093109
	“대통령이 이재민” 野 비판에 대통령실 “터무니없는 거짓” | 정치>청와대,정치>국회_정당 | http://www.seoul.co.kr/news/newsView.php?id=20220809500181
	‘발달장애 가족 참변’ 반지하 찾은 尹 “아, 주무시다가…” 탄식 | 정치>청와대 | http://www.seoul.co.kr/news/newsView.php?id=20220809500139

	폭우 잦아지는데...비에 잠기는 동물들, 대책 없나 | 사회>사회일반 | https://view.asiae.co.kr/article/2022080913335551220

	김동연, 집중호우 피해에 "모든 역량 총동원해 복구 나설 것" | 지역>경기,지역>경남,지역>강원 | http://www.segye.com/content/html/2022/08/09/20220809514714.html
	가로수 정리하던 구청직원 숨져…광주선 버스정류장 붕괴 '참변' | 사회>사회일반 | http://www.sedaily.com/NewsView/269QCHD47F
	김동연 경기도지사 "피해 복구 역량 총동원…유가족께 위로" | 지역>경기,지역>강원,지역>경남 | http://www.segye.com/content/html/2022/08/09/20220809522735.html
	이틀째 기록적 폭우로 수도권 '마비'‥9명 사망, 6명 실종 | 사회>사회일반 | https://imnews.imbc.com/replay/2022/nwdesk/article/6396615_35744.html
	폭우로 사망·실종 15명·피해 800건…중대본 최고대응 유지 |  | http://news.moneytoday.co.kr/view/mtview.php?no=2022080919464775442&type=2
	서울 115년만에 최악의 폭우… 인명피해 9명 사망·6명 실종 | 사회>날씨 | http://www.segye.com/content/html/2022/08/09/20220809521966.html
	'피해 눈덩이' 사망·실종 15명…중대본, 최고 대응 유지 | 사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809522058.html
	서울시, 올해 ‘수해방지·치수 예산’ 18% 싹둑…‘속수무책’ 자초? | 사회>사회일반 | http://www.hani.co.kr/arti/area/capital/1054141.html
