code,name,market,job
060310,3S,KOSDAQ,전자부품 제조업
095570,AJ네트웍스,KOSPI,산업용 기계 및 장비 임대업
006840,AK홀딩스,KOSPI,기타 금융업
054620,APS홀딩스,KOSDAQ,기타 금융업
265520,AP시스템,KOSDAQ,특수 목적용 기계 제조업
211270,AP위성,KOSDAQ,통신 및 방송 장비 제조업
027410,BGF,KOSPI,기타 금융업
282330,BGF리테일,KOSPI,종합 소매업
032790,BNGT,KOSDAQ,기계장비 및 관련 물품 도매업
138930,BNK금융지주,KOSPI,기타 금융업
001460,BYC,KOSPI,봉제의복 제조업
013720,CBI,KOSDAQ,자동차 신품 부품 제조업
001040,CJ,KOSPI,기타 금융업
079160,CJ CGV,KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업"
035760,CJ ENM,KOSDAQ,텔레비전 방송업
311690,CJ 바이오사이언스,KOSDAQ,자연과학 및 공학 연구개발업
000120,CJ대한통운,KOSPI,도로 화물 운송업
011150,CJ씨푸드,KOSPI,기타 식품 제조업
097950,CJ제일제당,KOSPI,기타 식품 제조업
051500,CJ프레시웨이,KOSDAQ,음·식료품 및 담배 도매업
058820,CMG제약,KOSDAQ,의약품 제조업
023460,CNH,KOSDAQ,신탁업 및 집합투자업
056730,CNT85,KOSDAQ,건물설비 설치 공사업
065770,CS,KOSDAQ,통신 및 방송 장비 제조업
083660,CSA 코스믹,KOSDAQ,기타 화학제품 제조업
000590,CS홀딩스,KOSPI,기타 금융업
012030,DB,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
404950,DB금융스팩10호,KOSDAQ,기타 금융업
367340,DB금융스팩8호,KOSDAQ,기타 금융업
367360,DB금융스팩9호,KOSDAQ,금융 지원 서비스업
016610,DB금융투자,KOSPI,금융 지원 서비스업
005830,DB손해보험,KOSPI,보험업
000990,DB하이텍,KOSPI,반도체 제조업
139130,DGB금융지주,KOSPI,기타 금융업
001530,DI동일,KOSPI,상품 중개업
000210,DL,KOSPI,기타 금융업
001880,DL건설,KOSPI,건물 건설업
375500,DL이앤씨,KOSPI,토목 건설업
068790,DMS,KOSDAQ,특수 목적용 기계 제조업
007340,DN오토모티브,KOSPI,일차전지 및 축전지 제조업
004840,DRB동일,KOSPI,고무제품 제조업
241520,DSC인베스트먼트,KOSDAQ,신탁업 및 집합투자업
155660,DSR,KOSPI,1차 비철금속 제조업
069730,DSR제강,KOSPI,1차 철강 제조업
017940,E1,KOSPI,기타 전문 도매업
245620,EDGC,KOSDAQ,자연과학 및 공학 연구개발업
037370,EG,KOSDAQ,토목 건설업
278990,EMB,KONEX,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
365550,ESR켄달스퀘어리츠,KOSPI,부동산 임대 및 공급업
050120,ES큐브,KOSDAQ,생활용품 도매업
084180,EV수성,KOSDAQ,일반 목적용 기계 제조업
383220,F&F,KOSPI,봉제의복 제조업
007700,F&F홀딩스,KOSPI,기타 금융업
214270,FSN,KOSDAQ,소프트웨어 개발 및 공급업
130500,GH신소재,KOSDAQ,기타 섬유제품 제조업
114090,GKL,KOSPI,유원지 및 기타 오락관련 서비스업
900290,GRT,KOSDAQ,기타 금융업
078930,GS,KOSPI,기타 금융업
083450,GST,KOSDAQ,특수 목적용 기계 제조업
006360,GS건설,KOSPI,건물 건설업
001250,GS글로벌,KOSPI,상품 종합 도매업
007070,GS리테일,KOSPI,종합 소매업
297890,HB솔루션,KOSDAQ,특수 목적용 기계 제조업
078150,HB테크놀러지,KOSDAQ,특수 목적용 기계 제조업
012630,HDC,KOSPI,기타 금융업
039570,HDC랩스,KOSPI,전기 및 통신 공사업
089470,HDC현대EP,KOSPI,기타 화학제품 제조업
294870,HDC현대산업개발,KOSPI,건물 건설업
267250,HD현대,KOSPI,석유 정제품 제조업
097230,HJ중공업,KOSPI,토목 건설업
195940,HK이노엔,KOSDAQ,의약품 제조업
028300,HLB,KOSDAQ,선박 및 보트 건조업
003580,HLB글로벌,KOSPI,기타 비금속광물 광업
343090,HLB사이언스,KONEX,의료용품 및 기타 의약 관련제품 제조업
067630,HLB생명과학,KOSDAQ,"건축기술, 엔지니어링 및 관련 기술 서비스업"
047920,HLB제약,KOSDAQ,자연과학 및 공학 연구개발업
115450,HLB테라퓨틱스,KOSDAQ,기타 전문 도매업
011200,HMM,KOSPI,해상 운송업
403870,HPSP,KOSDAQ,특수 목적용 기계 제조업
036640,HRS,KOSDAQ,합성고무 및 플라스틱 물질 제조업
082740,HSD엔진,KOSPI,일반 목적용 기계 제조업
335870,IBKS제12호스팩,KOSDAQ,금융 지원 서비스업
351340,IBKS제13호스팩,KOSDAQ,금융 지원 서비스업
388790,IBKS제16호스팩,KOSDAQ,금융 지원 서비스업
405350,IBKS제17호스팩,KOSDAQ,금융 지원 서비스업
424760,IBKS제18호스팩,KOSDAQ,금융 지원 서비스업
003560,IHQ,KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업"
095340,ISC,KOSDAQ,전자부품 제조업
099520,ITX-AI,KOSDAQ,영상 및 음향기기 제조업
175330,JB금융지주,KOSPI,기타 금융업
950170,JTC,KOSDAQ,종합 소매업
234080,JW생명과학,KOSPI,의약품 제조업
067290,JW신약,KOSDAQ,의약품 제조업
001060,JW중외제약,KOSPI,의약품 제조업
096760,JW홀딩스,KOSPI,기타 금융업
035900,JYP Ent.,KOSDAQ,오디오물 출판 및 원판 녹음업
318000,KBG,KOSDAQ,합성고무 및 플라스틱 물질 제조업
024840,KBI메탈,KOSDAQ,1차 비철금속 제조업
105560,KB금융,KOSPI,기타 금융업
024120,KB오토시스,KOSDAQ,자동차 신품 부품 제조업
002380,KCC,KOSPI,기타 화학제품 제조업
021320,KCC건설,KOSDAQ,건물 건설업
344820,KCC글라스,KOSPI,유리 및 유리제품 제조업
036670,KCI,KOSDAQ,기타 화학제품 제조업
009070,KCTC,KOSPI,도로 화물 운송업
009440,KC그린홀딩스,KOSPI,기타 금융업
112190,KC산업,KONEX,"시멘트, 석회, 플라스터 및 그 제품 제조업"
119650,KC코트렐,KOSPI,일반 목적용 기계 제조업
044180,KD,KOSDAQ,건물 건설업
092220,KEC,KOSPI,반도체 제조업
151860,KG ETS,KOSDAQ,폐기물 처리업
046440,KG모빌리언스,KOSDAQ,소프트웨어 개발 및 공급업
016380,KG스틸,KOSPI,1차 철강 제조업
035600,KG이니시스,KOSDAQ,소프트웨어 개발 및 공급업
001390,KG케미칼,KOSPI,기초 화학물질 제조업
226360,KH 건설,KOSDAQ,토목 건설업
111870,KH 전자,KOSDAQ,영상 및 음향기기 제조업
033180,KH 필룩스,KOSPI,전자부품 제조업
060720,KH바텍,KOSDAQ,전자부품 제조업
001940,KISCO홀딩스,KOSPI,1차 철강 제조업
058400,KNN,KOSDAQ,텔레비전 방송업
114450,KPX생명과학,KOSDAQ,기초 의약물질 및 생물학적 제제 제조업
025000,KPX케미칼,KOSPI,기초 화학물질 제조업
092230,KPX홀딩스,KOSPI,기초 화학물질 제조업
000040,KR모터스,KOSPI,그외 기타 운송장비 제조업
044450,KSS해운,KOSPI,해상 운송업
030200,KT,KOSPI,전기 통신업
033780,KT&G,KOSPI,담배 제조업
058850,KTcs,KOSPI,기타 정보 서비스업
058860,KTis,KOSPI,기타 정보 서비스업
060370,KT서브마린,KOSDAQ,전기 및 통신 공사업
122450,KX,KOSDAQ,텔레비전 방송업
052900,KX하이텍,KOSDAQ,플라스틱제품 제조업
093050,LF,KOSPI,봉제의복 제조업
003550,LG,KOSPI,기타 금융업
034220,LG디스플레이,KOSPI,전자부품 제조업
051900,LG생활건강,KOSPI,기타 화학제품 제조업
373220,LG에너지솔루션,KOSPI,일차전지 및 축전지 제조업
032640,LG유플러스,KOSPI,전기 통신업
011070,LG이노텍,KOSPI,전자부품 제조업
066570,LG전자,KOSPI,통신 및 방송 장비 제조업
037560,LG헬로비전,KOSPI,텔레비전 방송업
051910,LG화학,KOSPI,기초 화학물질 제조업
079550,LIG넥스원,KOSPI,무기 및 총포탄 제조업
006260,LS,KOSPI,기타 금융업
010120,LS ELECTRIC,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
000680,LS네트웍스,KOSPI,상품 종합 도매업
229640,LS전선아시아,KOSPI,기타 금융업
108320,LX세미콘,KOSDAQ,반도체 제조업
001120,LX인터내셔널,KOSPI,상품 중개업
108670,LX하우시스,KOSPI,플라스틱제품 제조업
383800,LX홀딩스,KOSPI,기타 금융업
023150,MH에탄올,KOSPI,알코올음료 제조업
035420,NAVER,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
160550,NEW,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
053290,NE능률,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업"
181710,NHN,KOSPI,소프트웨어 개발 및 공급업
104200,NHN벅스,KOSDAQ,소프트웨어 개발 및 공급업
060250,NHN한국사이버결제,KOSDAQ,기타 정보 서비스업
400760,NH올원리츠,KOSPI,부동산 임대 및 공급업
005940,NH투자증권,KOSPI,금융 지원 서비스업
338100,NH프라임리츠,KOSPI,부동산 임대 및 공급업
034310,NICE,KOSPI,회사 본부 및 경영 컨설팅 서비스업
030190,NICE평가정보,KOSDAQ,기타 정보 서비스업
008260,NI스틸,KOSPI,1차 철강 제조업
004250,NPC,KOSPI,플라스틱제품 제조업
010060,OCI,KOSPI,기초 화학물질 제조업
178920,PI첨단소재,KOSPI,플라스틱제품 제조업
024940,PN풍년,KOSDAQ,생활용품 도매업
005490,POSCO홀딩스,KOSPI,1차 철강 제조업
218410,RFHIC,KOSDAQ,통신 및 방송 장비 제조업
327260,RF머트리얼즈,KOSDAQ,전자부품 제조업
091340,S&K폴리텍,KOSDAQ,전자부품 제조업
010950,S-Oil,KOSPI,석유 정제품 제조업
019550,SBI인베스트먼트,KOSDAQ,신탁업 및 집합투자업
950110,SBI핀테크솔루션즈,KOSDAQ,소프트웨어 개발 및 공급업
034120,SBS,KOSPI,텔레비전 방송업
046140,SBS콘텐츠허브,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
151910,SBW생명과학,KOSDAQ,전자부품 제조업
036120,SCI평가정보,KOSDAQ,기타 정보 서비스업
099220,SDN,KOSDAQ,기계장비 및 관련 물품 도매업
036540,SFA반도체,KOSDAQ,반도체 제조업
255220,SG,KOSDAQ,기타 비금속 광물제품 제조업
040610,SG&G,KOSDAQ,기타 운송관련 서비스업
049470,SGA,KOSDAQ,소프트웨어 개발 및 공급업
184230,SGA솔루션즈,KOSDAQ,소프트웨어 개발 및 공급업
005090,SGC에너지,KOSPI,전기업
016250,SGC이테크건설,KOSDAQ,건물 건설업
001380,SG글로벌,KOSPI,자동차 신품 부품 제조업
004060,SG세계물산,KOSPI,상품 종합 도매업
001770,SHD,KOSPI,1차 철강 제조업
002360,SH에너지화학,KOSPI,기초 화학물질 제조업
009160,SIMPAC,KOSPI,1차 철강 제조업
123700,SJM,KOSPI,자동차 신품 부품 제조업
025530,SJM홀딩스,KOSPI,자동차 부품 및 내장품 판매업
034730,SK,KOSPI,기타 금융업
337450,SK5호스팩,KOSDAQ,금융 지원 서비스업
340350,SK6호스팩,KOSDAQ,금융 지원 서비스업
011790,SKC,KOSPI,기타 화학제품 제조업
018670,SK가스,KOSPI,기타 전문 도매업
001740,SK네트웍스,KOSPI,기타 전문 도매업
006120,SK디스커버리,KOSPI,기타 금융업
210980,SK디앤디,KOSPI,부동산 임대 및 공급업
068400,SK렌터카,KOSPI,운송장비 임대업
395400,SK리츠,KOSPI,부동산 임대 및 공급업
302440,SK바이오사이언스,KOSPI,기초 의약물질 및 생물학적 제제 제조업
326030,SK바이오팜,KOSPI,자연과학 및 공학 연구개발업
402340,SK스퀘어,KOSPI,기타 금융업
260870,SK시그넷,KONEX,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
361610,SK아이이테크놀로지,KOSPI,일차전지 및 축전지 제조업
096770,SK이노베이션,KOSPI,석유 정제품 제조업
001510,SK증권,KOSPI,금융 지원 서비스업
285130,SK케미칼,KOSPI,합성고무 및 플라스틱 물질 제조업
017670,SK텔레콤,KOSPI,전기 통신업
000660,SK하이닉스,KOSPI,반도체 제조업
048550,SM C&C,KOSDAQ,광고업
