name,type,address1,address2
한국보건의료정보원,기타공공기관,서울특별시,중구
강릉원주대학교치과병원,기타공공기관,강원도,강릉시
강원대학교병원,기타공공기관,강원도,춘천시
건강보험심사평가원,준정부기관(위탁집행형),강원도,원주시
건설근로자공제회,기타공공기관,서울특별시,중구
경북대학교병원,기타공공기관,대구광역시,중구
경상국립대학교병원,기타공공기관,경상남도,진주시
국가생명윤리정책원,기타공공기관,서울특별시,중구
국립암센터,기타공공기관,경기도,고양시 일산동구
국립중앙의료원,기타공공기관,서울특별시,중구
국민건강보험공단,준정부기관(위탁집행형),강원도,원주시
국민연금공단,준정부기관(기금관리형),전라북도,전주시 덕진구
근로복지공단,준정부기관(기금관리형),울산광역시,중구
노사발전재단,기타공공기관,서울특별시,마포구
대한적십자사,기타공공기관,강원도,원주시
부산대학교병원,기타공공기관,부산광역시,서구
부산대학교치과병원,기타공공기관,경상남도,양산시
사립학교교직원연금공단,준정부기관(기금관리형),전라남도,나주시
서울대학교병원,기타공공기관,서울특별시,종로구
서울대학교치과병원,기타공공기관,서울특별시,종로구
서울요양원,준정부기관(위탁집행형),서울특별시,강남구
아동권리보장원,기타공공기관,서울특별시,종로구
오송첨단의료산업진흥재단,기타공공기관,충청북도,청주시 흥덕구
의료기관평가인증원,기타공공기관,서울특별시,영등포구
한국공공조직은행,기타공공기관,경기도,성남시 중원구
한국자활복지개발원,기타공공기관,서울특별시,서대문구
한국장기조직기증원,기타공공기관,서울특별시,서대문구
전남대학교병원,기타공공기관,광주광역시,동구
전북대학교병원,기타공공기관,전라북도,전주시 덕진구
제주대학교병원,기타공공기관,제주특별자치도,제주시
충남대학교병원,기타공공기관,대전광역시,중구
충북대학교병원,기타공공기관,충청북도,청주시 서원구
한국건강가정진흥원,준정부기관(위탁집행형),서울특별시,서초구
한국고용정보원,준정부기관(위탁집행형),충청북도,음성군
한국국제보건의료재단,기타공공기관,서울특별시,광진구
한국노인인력개발원,준정부기관(위탁집행형),경기도,고양시
한국도박문제관리센터,기타공공기관,서울특별시,중구
한국보육진흥원,준정부기관(위탁집행형),서울특별시,용산구
한국보훈복지의료공단,준정부기관(위탁집행형),강원도,원주시
한국사회보장정보원,준정부기관(위탁집행형),서울특별시,광진구
한국산업안전보건공단,준정부기관(위탁집행형),울산광역시,중구
한국산업인력공단,준정부기관(위탁집행형),울산광역시,중구
한국식품안전관리인증원,준정부기관(위탁집행형),충청북도,청주시 흥덕구
한국여성과학기술인육성재단,기타공공기관,서울특별시,강남구
한국여성인권진흥원,기타공공기관,서울특별시,중구
한국원자력의학원,기타공공기관,서울특별시,노원구
한국의료기기안전정보원,기타공공기관,서울특별시,구로구
한국장애인개발원,기타공공기관,서울특별시,영등포구
한국장애인고용공단,준정부기관(위탁집행형),경기도,성남시
한국한의약진흥원,기타공공기관,경상북도,경산시
우체국금융개발원,준정부기관(위탁집행형),서울특별시,영등포구
기술보증기금,준정부기관(기금관리형),부산광역시,남구
농업정책보험금융원,기타공공기관,서울특별시,영등포구
서민금융진흥원,준정부기관(위탁집행형),서울특별시,중구
신용보증기금,준정부기관(기금관리형),대구광역시,동구
신용보증재단중앙회,기타공공기관,대전광역시,서구
예금보험공사,준정부기관(기금관리형),서울특별시,중구
주택도시보증공사,공기업(준시장형),부산광역시,남구
중소기업은행,기타공공기관,서울특별시,중구
한국무역보험공사,준정부기관(기금관리형),서울특별시,종로구
한국벤처투자,기타공공기관,서울특별시,서초구
한국산업은행,기타공공기관,서울특별시,영등포구
한국수출입은행,기타공공기관,서울특별시,영등포구
한국자산관리공사,준정부기관(기금관리형),부산광역시,남구
한국장학재단,준정부기관(위탁집행형),대구광역시,동구
한국조폐공사,공기업(준시장형),대전광역시,유성구
한국주택금융공사,준정부기관(기금관리형),부산광역시,남구
한국투자공사,기타공공기관,서울특별시,중구
우체국시설관리단,기타공공기관,서울특별시,광진구
일제강제동원피해자지원재단,기타공공기관,서울특별시,종로구
88관광개발,기타공공기관,경기도,용인시 기흥구
경북대학교치과병원,기타공공기관,대구광역시,중구
공간정보품질관리원,기타공공기관,서울특별시,영등포구
공무원연금공단,준정부기관(기금관리형),제주특별자치도,서귀포시
국가과학기술연구회,기타공공기관,세종특별자치시,시청대로
국방기술품질원,기타공공기관,경상남도,진주시
국방전직교육원,기타공공기관,경기도,성남시 수정구
대한장애인체육회,기타공공기관,서울특별시,송파구
동남권원자력의학원,기타공공기관,부산광역시,기장군
민주화운동기념사업회,기타공공기관,경기도,의왕시
서울올림픽기념국민체육진흥공단,준정부기관(기금관리형),서울특별시,송파구
수도권매립지관리공사,기타공공기관,인천광역시,서구
식품안전정보원,기타공공기관,서울특별시,종로구
육아정책연구소,기타공공기관,서울특별시,중구
대한건설기계안전관리원,준정부기관(위탁집행형),서울특별시,서초구
장애인기업종합지원센터,기타공공기관,서울특별시,영등포구
전략물자관리원,기타공공기관,서울특별시,강남구
정보통신기획평가원,준정부기관(위탁집행형),대전광역시,유성구
제주국제자유도시개발센터,공기업(준시장형),제주특별자치도,제주시
주택관리공단,기타공공기관,경상남도,진주시
중소기업유통센터,기타공공기관,서울특별시,양천구
창업진흥원,준정부기관(위탁집행형),세종특별자치시,
코레일관광개발,기타공공기관,서울특별시,용산구
코레일테크,기타공공기관,대전광역시,중구
특허정보진흥센터,기타공공기관,대전광역시,서구
한국고용노동교육원,기타공공기관,경기도,광주시
한국도로공사서비스,기타공공기관,경기도,성남시 분당구
한국등산·트레킹지원센터,기타공공기관,대전광역시,대덕구
한국발명진흥회,기타공공기관,서울특별시,강남구
한국보건의료인국가시험원,기타공공기관,서울특별시,광진구
한국사회복지협의회,기타공공기관,서울특별시,마포구
한국산업기술시험원,기타공공기관,경상남도,진주시
한국생산기술연구원,기타공공기관,충청남도,천안시 서북구
한국소비자원,준정부기관(위탁집행형),충청북도,음성군
한국승강기안전공단,준정부기관(위탁집행형),경상남도,진주시
한국영상자료원,기타공공기관,서울특별시,마포구
한국원자력통제기술원,기타공공기관,대전광역시,유성구
한국의료분쟁조정중재원,기타공공기관,서울특별시,중구
한국전기안전공사,준정부기관(위탁집행형),전라북도,완주군
한국제품안전관리원,기타공공기관,서울특별시,금천구
한국지식재산보호원,기타공공기관,서울특별시,강남구
한국지식재산연구원,기타공공기관,서울특별시,강남구
한국체육산업개발,기타공공기관,서울특별시,송파구
한국특허전략개발원,준정부기관(위탁집행형),서울특별시,강남구
한국해외인프라도시개발지원공사,기타공공기관,서울특별시,영등포구
한전MCS,기타공공기관,전라남도,나주시
항공안전기술원,기타공공기관,인천광역시,서구
APEC기후센터,기타공공기관,부산광역시,해운대구
축산환경관리원,기타공공기관,세종특별자치시,
가축위생방역지원본부,기타공공기관,세종특별자치시,아름서길
국립공원공단,준정부기관(위탁집행형),강원도,원주시
국립생태원,준정부기관(위탁집행형),충청남도,서천군
국제식물검역인증원,기타공공기관,부산광역시,남구
농림수산식품교육문화정보원,준정부기관(위탁집행형),세종특별자치시,
농림식품기술기획평가원,준정부기관(위탁집행형),전라남도,나주시
축산물품질평가원,준정부기관(위탁집행형),세종특별자치시,
한국농수산식품유통공사,준정부기관(위탁집행형),전라남도,나주시
한국농어촌공사,준정부기관(위탁집행형),전라남도,나주시
한국농업기술진흥원,준정부기관(위탁집행형),전라북도,익산시
한국마사회,공기업(준시장형),경기도,과천시
한국산림복지진흥원,준정부기관(위탁집행형),대전광역시,서구
한국수산자원공단,준정부기관(위탁집행형),부산광역시,기장군
한국어촌어항공단,기타공공기관,서울특별시,금천구
한국해양수산연수원,준정부기관(위탁집행형),부산광역시,영도구
한국해양조사협회,기타공공기관,서울특별시,금천구
한국해양진흥공사,기타공공기관,부산광역시,해운대구
한국환경공단,준정부기관(위탁집행형),인천광역시,서구
한국환경산업기술원,준정부기관(위탁집행형),서울특별시,은평구
해양환경공단,공기업(준시장형),서울특별시,송파구
환경보전협회,기타공공기관,서울특별시,성동구
남북교류협력지원협회,기타공공기관,서울특별시,중구
예술경영지원센터,기타공공기관,서울특별시,종로구
강원랜드,공기업(시장형),강원도,정선군
게임물관리위원회,기타공공기관,부산광역시,해운대구
국립광주과학관,기타공공기관,광주광역시,북구
국립대구과학관,기타공공기관,대구광역시,달성군
국립박물관문화재단,기타공공기관,서울특별시,용산구
국립부산과학관,기타공공기관,부산광역시,기장군
국립항공박물관,기타공공기관,서울특별시,강서구
국립해양박물관,기타공공기관,부산광역시,영도구
국제방송교류재단,준정부기관(위탁집행형),서울특별시,서초구
그랜드코리아레저,공기업(준시장형),서울특별시,강남구
대한법률구조공단,기타공공기관,경상북도,김천시
대한체육회,기타공공기관,서울특별시,송파구
독립기념관,준정부기관(위탁집행형),충청남도,천안시 동남구
북한이탈주민지원재단,기타공공기관,서울특별시,마포구
세종학당재단,기타공공기관,서울특별시,서초구
수자원환경산업진흥,기타공공기관,경기도,김포시
시청자미디어재단,준정부기관(위탁집행형),서울특별시,영등포구
영상물등급위원회,기타공공기관,부산광역시,해운대구
예술의전당,기타공공기관,서울특별시,서초구
국악방송,기타공공기관,서울특별시,마포구
재외동포재단,기타공공기관,제주특별자치도,서귀포시
정부법무공단,기타공공기관,서울특별시,강남구
태권도진흥재단,기타공공기관,전라북도,무주군
통일연구원,기타공공기관,서울특별시,서초구
한국공예디자인문화진흥원,기타공공기관,서울특별시,종로구
한국공정거래조정원,기타공공기관,서울특별시,중구
한국관광공사,준정부기관(위탁집행형),강원도,원주시
한국국제교류재단,기타공공기관,제주특별자치도,서귀포시
한국국제협력단,준정부기관(위탁집행형),경기도,성남시 수정구
한국문학번역원,기타공공기관,서울특별시,강남구
한국문화정보원,기타공공기관,서울특별시,마포구
한국방송광고진흥공사,공기업(준시장형),서울특별시,중구
한국법무보호복지공단,기타공공기관,경상북도,김천시
한국예술인복지재단,기타공공기관,서울특별시,종로구
한국저작권보호원,기타공공기관,서울특별시,마포구
한국저작권위원회,기타공공기관,경상남도,진주시
한국출판문화산업진흥원,기타공공기관,전라북도,전주시 덕진구
한식진흥원,기타공공기관,서울특별시,종로구
한국우편사업진흥원,준정부기관(위탁집행형),서울특별시,영등포구
공영홈쇼핑,기타공공기관,서울특별시,마포구
과학기술일자리진흥원,기타공공기관,서울특별시,서대문구
대한무역투자진흥공사,준정부기관(위탁집행형),서울특별시,서초구
소상공인시장진흥공단,준정부기관(위탁집행형),대전광역시,중구
연구개발특구진흥재단,준정부기관(위탁집행형),대전광역시,유성구
영화진흥위원회,기타공공기관,부산광역시,해운대구
정보통신산업진흥원,준정부기관(위탁집행형),충청북도,진천군
정보통신정책연구원,기타공공기관,충청북도,진천군
중소기업기술정보진흥원,준정부기관(위탁집행형),세종특별자치시,
중소벤처기업진흥공단,준정부기관(기금관리형),경상남도,진주시
한국기상산업기술원,준정부기관(위탁집행형),서울특별시,서대문구
한국데이터산업진흥원,기타공공기관,서울특별시,중구
한국디자인진흥원,준정부기관(위탁집행형),경기도,성남시 분당구
한국로봇산업진흥원,기타공공기관,대구광역시,북구
한국문화예술교육진흥원,기타공공기관,서울특별시,마포구
한국문화예술위원회,기타공공기관,전라남도,나주시
한국문화진흥주식회사,기타공공기관,경기도,광주시
한국방송통신전파진흥원,준정부기관(위탁집행형),전라남도,나주시
한국보건산업진흥원,준정부기관(위탁집행형),충청북도,청주시 흥덕구
한국사회적기업진흥원,기타공공기관,경기도,성남시 수정구
한국산업기술진흥원,준정부기관(위탁집행형),서울특별시,강남구
한국산업기술평가관리원,준정부기관(위탁집행형),대구광역시,동구
한국산업단지공단,준정부기관(위탁집행형),대구광역시,동구
한국소방산업기술원,준정부기관(위탁집행형),경기도,용인시 기흥구
한국식품산업클러스터진흥원,기타공공기관,전라북도,익산시
한국언론진흥재단,준정부기관(기금관리형),서울특별시,중구
한국인터넷진흥원,준정부기관(위탁집행형),전라남도,나주시
한국임업진흥원,준정부기관(위탁집행형),서울특별시,강서구
한국재정정보원,준정부기관(위탁집행형),서울특별시,중구
한국지능정보사회진흥원,준정부기관(위탁집행형),대구광역시,동구
한국콘텐츠진흥원,준정부기관(위탁집행형),전라남도,나주시
한국탄소산업진흥원,기타공공기관,전라북도,전주시 덕진구
한국특허정보원,기타공공기관,대전광역시,서구
한국해양교통안전공단,준정부기관(위탁집행형),세종특별자치시,
한국가스기술공사,공기업(준시장형),대전광역시,유성구
대한석탄공사,공기업(준시장형),강원도,원주시
한국에너지재단,기타공공기관,서울특별시,용산구
한국가스공사,공기업(시장형),대구광역시,동구
한국가스안전공사,준정부기관(위탁집행형),충청북도,음성군
한국남동발전,공기업(시장형),경상남도,진주시
한국남부발전,공기업(시장형),부산광역시,남구
한국동서발전,공기업(시장형),울산광역시,중구
한국서부발전,공기업(시장형),충청남도,태안군
한국석유공사,공기업(시장형),울산광역시,중구
한국석유관리원,준정부기관(위탁집행형),경기도,성남시 분당구
한국수력원자력,공기업(시장형),경상북도,경주시
한국에너지공단,준정부기관(위탁집행형),울산광역시,중구
한국에너지기술연구원,기타공공기관,대전광역시,유성구
한국에너지기술평가원,준정부기관(위탁집행형),서울특별시,강남구
한국에너지정보문화재단,기타공공기관,서울특별시,금천구
한국원자력안전기술원,기타공공기관,대전광역시,유성구
한국원자력안전재단,기타공공기관,경기도,성남시 분당구
한국원자력환경공단,준정부기관(위탁집행형),경상북도,경주시
한국전력거래소,준정부기관(위탁집행형),전라남도,나주시
한국전력공사,공기업(시장형),전라남도,나주시
한국전력기술주식회사,공기업(준시장형),경상북도,김천시
한국중부발전,공기업(시장형),충청남도,보령시
한국지역난방공사,공기업(시장형),경기도,성남시 분당구
한전KDN,공기업(준시장형),전라남도,나주시
한전KPS,공기업(준시장형),전라남도,나주시
